Metrics,0.001,0.003,0.01,0.03,0.09,0.3,0.9,3
accuracy,0.723377778,0.733688889,0.744533333,0.750755556,0.751822222,0.751111111,0.751111111,0.750222222
precision,0.488152501,0.499653263,0.512844921,0.520747889,0.522064825,0.521138451,0.521101012,0.519982167
recall,0.834113712,0.810702341,0.789297659,0.77993311,0.785284281,0.785284281,0.785953177,0.786622074
f1,0.615840909,0.618152713,0.621535329,0.624416834,0.627095807,0.626425147,0.626633317,0.626023324
