,0.01,0.03,0.09,0.3,0.9,3.0
test_accuracy,0.7950222222222222,0.7964444444444444,0.7971555555555556,0.8010666666666667,0.8005333333333334,0.7996444444444444
test_precision,0.6561864772425204,0.6521057136637413,0.6499243882775538,0.6566898225991011,0.6529010711783745,0.6499542462743829
test_recall,0.4809364548494983,0.5023411371237458,0.5150501672240803,0.5284280936454849,0.5337792642140469,0.5351170568561872
test_f1,0.5546608117501085,0.5671184247259332,0.5742153182603555,0.5851192111026843,0.5870884082983272,0.5867047121120615
