max_depth,min_samples_leafs,recall,precision,f1,accuracy
3,1,0.746488888888889,0.746488888888889,0.746488888888889,0.746488888888889
3,2,0.746488888888889,0.746488888888889,0.746488888888889,0.746488888888889
3,5,0.746488888888889,0.746488888888889,0.746488888888889,0.746488888888889
3,10,0.746488888888889,0.746488888888889,0.746488888888889,0.746488888888889
3,20,0.746488888888889,0.746488888888889,0.746488888888889,0.746488888888889
5,1,0.7601777777777778,0.7601777777777778,0.7601777777777778,0.7601777777777778
5,2,0.7601777777777778,0.7601777777777778,0.7601777777777778,0.7601777777777778
5,5,0.7603555555555557,0.7603555555555557,0.7603555555555557,0.7603555555555557
5,10,0.7601777777777777,0.7601777777777777,0.7601777777777777,0.7601777777777777
5,20,0.7601777777777777,0.7601777777777777,0.7601777777777777,0.7601777777777777
7,1,0.7647999999999999,0.7647999999999999,0.7647999999999999,0.7647999999999999
7,2,0.7658666666666667,0.7658666666666667,0.7658666666666667,0.7658666666666667
7,5,0.7665777777777778,0.7665777777777778,0.7665777777777778,0.7665777777777778
7,10,0.7674666666666667,0.7674666666666667,0.7674666666666667,0.7674666666666667
7,20,0.7635555555555555,0.7635555555555555,0.7635555555555555,0.7635555555555555
10,1,0.7546666666666666,0.7546666666666666,0.7546666666666666,0.7546666666666666
10,2,0.7575111111111111,0.7575111111111111,0.7575111111111111,0.7575111111111111
10,5,0.7644444444444445,0.7644444444444445,0.7644444444444445,0.7644444444444445
10,10,0.7681777777777777,0.7681777777777777,0.7681777777777777,0.7681777777777777
10,20,0.7647999999999999,0.7647999999999999,0.7647999999999999,0.7647999999999999
,1,0.7374222222222222,0.7374222222222222,0.7374222222222222,0.7374222222222222
,2,0.7479111111111112,0.7479111111111112,0.7479111111111112,0.7479111111111112
,5,0.7509333333333335,0.7509333333333335,0.7509333333333335,0.7509333333333335
,10,0.7623111111111112,0.7623111111111112,0.7623111111111112,0.7623111111111112
,20,0.7655111111111111,0.7655111111111111,0.7655111111111111,0.7655111111111111
