Metrics,0.01,0.03,0.09,0.3,0.9,3
accuracy,0.750222222,0.756266667,0.756444444,0.755555556,0.755377778,0.755733333
precision,0.52047641,0.528536358,0.528907109,0.527556081,0.527071968,0.52751265
recall,0.772575251,0.767892977,0.767892977,0.770568562,0.773913043,0.77458194
f1,0.621770427,0.626064593,0.626273111,0.626199522,0.626999335,0.627534854
