max_depth,min_samples_leafs,recall,precision,f1,accuracy
3,1,0.6675585284280936,0.5183891064805961,0.5831861799213611,0.746488888888889
3,2,0.6675585284280936,0.5183891064805961,0.5831861799213611,0.746488888888889
3,5,0.6675585284280936,0.5183891064805961,0.5831861799213611,0.746488888888889
3,10,0.6675585284280936,0.5183891064805961,0.5831861799213611,0.746488888888889
3,20,0.6675585284280936,0.5183891064805961,0.5831861799213611,0.746488888888889
5,1,0.6749163879598662,0.5428018317134617,0.5988296033366456,0.7601777777777778
5,2,0.6749163879598662,0.5428018317134617,0.5988296033366456,0.7601777777777778
5,5,0.674247491638796,0.5431521883613227,0.5988285645610043,0.7603555555555557
5,10,0.674247491638796,0.5428945663737592,0.5986587747920523,0.7601777777777777
5,20,0.674247491638796,0.5428945663737592,0.5986587747920523,0.7601777777777777
7,1,0.6301003344481606,0.551620004607634,0.5875016057065132,0.7647999999999999
7,2,0.6307692307692309,0.5534936227968481,0.5888576424957623,0.7658666666666667
7,5,0.6301003344481606,0.5545827928021476,0.5892656208729955,0.7665777777777778
7,10,0.6327759197324415,0.5560477921814322,0.59119563907604,0.7674666666666667
7,20,0.642809364548495,0.548145747864302,0.591197861402767,0.7635555555555555
10,1,0.5906354515050167,0.5349666290465246,0.5613048260318564,0.7546666666666666
10,2,0.5812709030100335,0.5410696054399259,0.5603673038618996,0.7575111111111111
10,5,0.5866220735785953,0.5544919754325417,0.569524592424983,0.7644444444444445
10,10,0.5939799331103679,0.56079672171262,0.576702091610825,0.7681777777777777
10,20,0.6046822742474918,0.5526855780873149,0.5774139876511961,0.7647999999999999
,1,0.5217391304347826,0.5060942567824391,0.5133823655070974,0.7374222222222222
,2,0.4682274247491639,0.529400431974403,0.4967126228969582,0.7479111111111112
,5,0.5070234113712375,0.5341716601168223,0.5198060520727432,0.7509333333333335
,10,0.5337792642140469,0.5550101448804319,0.5439752229581126,0.7623111111111112
,20,0.5652173913043479,0.5582775319960526,0.561445651965157,0.7655111111111111
